,Name,Industry,Sector,Headquarters,Founded,Notes
223,UPC Switzerland,Telecommunications,Fixed line telecommunications,Zürich,1994,Broadband
224,Uster Technologies,Industrials,Electronic equipment,Uster,2003,Electronics
225,Vacheron Constantin,Consumer goods,Clothing & accessories,Geneva,1755,"Watches, part of Richemont"
226,Victorinox,Consumer goods,Recreational products,Ibach,1884,Manufacturer of Swiss Army knives
227,Vitol,Financials,Financial services,Geneva,1966,Commodity trading
228,Von Roll,Industrials,Electrical components & equipment,Breitenbach,1803,Electrical components & equipment
229,Walter Verlag,Consumer services,Publishing,Olten,1916,Publishing house
230,Waltham International SA,Consumer goods,Clothing & accessories,Marin-Epagnier,1850,Watches
231,Weatherford International,Oil & gas,Oil equipment & services,Baar[10],1941,Oilfield services
232,Weleda,Consumer goods,Personal products,Arlesheim,1921,Natural beauty products
233,Wenger,Consumer goods,Recreational products,Delémont,1893,Swiss army knives
234,Winterthur Group,Financials,Full line insurance,Winterthur,1875,Insurance
235,Xstrata,Basic materials,General mining,Zug,1926,"Mining, merged with Glencore"
236,Zenith,Consumer goods,Clothing & accessories,Le Locle,1865,Watches
237,Zephyr Surgical Implants,Health care,Medical equipment,Geneva,2005,Urinary sphincters and penile implants
238,Zimex Aviation,Consumer services,Airlines,Opfikon,1969,Aircraft leases
239,Zürcher Oberländer,Consumer services,Publishing,Wetzikon,1852,Newspaper
240,Zurich Insurance Group,Financials,Full line insurance,Zürich,1872,Insurance
241,Zürichsee-Schifffahrtsgesellschaft,Industrials,Marine transportation,Zürich,1890,Transport
242,Zürichsee-Zeitung,Consumer services,Publishing,Stäfa,1845,Newspaper
